time,approved,failed,denied,reversed,refunded,processing,backend_reversed
00h 07,11,,1,1,,,
00h 10,10,,1,,,,
00h 20,13,,1,,,,
00h 21,6,,1,,,,
00h 24,10,,1,,,,
00h 29,5,,1,,,,
00h 34,7,,1,,,,
00h 36,10,,1,,,,
00h 38,7,,1,,,,
00h 40,6,,1,,,,
00h 41,5,,1,,,,
00h 52,10,,1,,,,
00h 54,5,,1,,,,
00h 56,2,,1,1,,,
00h 57,2,,1,,,,
00h 58,3,,1,,,,
00h 59,4,,1,,,,
01h 01,3,,1,,,,
01h 08,3,,1,,,,1
01h 11,3,,1,,,,
01h 24,2,,1,,,,
01h 25,2,,1,,,,
01h 26,2,,1,,,,
01h 27,5,,1,,,,
01h 29,2,,1,,,,
01h 32,3,,1,,,,
01h 35,4,,1,,,,
01h 39,2,,1,,,,
01h 44,6,,1,,,,
01h 59,,,1,,,,
02h 02,,,1,,,,
02h 03,4,,1,,,,
02h 05,1,,1,,,,
02h 16,1,,1,,,,
02h 22,1,,1,,,,
02h 23,1,,1,,,,
02h 24,2,,1,,,,
02h 31,3,,1,,,,
02h 35,,,1,,,,
02h 41,1,,1,,,,
02h 54,2,,1,,,,
03h 06,1,,1,,,,
03h 13,,,1,,,,
03h 22,2,,1,,,,
03h 40,,,1,,,,
03h 41,,,1,,,,
03h 44,,,1,,,,
03h 53,,,1,,,,
03h 55,,,1,,,,
03h 58,1,,1,,,,
04h 23,,,1,,,,
04h 24,,,1,,,,
04h 55,1,,1,,,,
05h 07,1,,1,,,,
05h 14,1,,1,,,,
05h 17,2,,1,,,,
05h 19,,,1,,,,
05h 20,1,,1,,,,
05h 26,4,,1,,,,
05h 29,4,,1,,,,
05h 35,4,,1,,,,
05h 36,5,,1,,,,
05h 41,7,,1,,,,
05h 43,7,,1,,,,
05h 44,5,,1,,,,
05h 46,7,,1,,,,
05h 47,,,1,,,,
05h 51,10,,1,,,,
05h 56,8,,1,,,,
05h 58,10,,1,,,,
06h 00,5,,1,,,,
06h 03,17,,1,,,,
06h 08,20,,1,,,,
06h 12,20,,1,,,,
06h 13,20,,1,,,,
06h 18,31,,1,,,,
06h 28,18,,1,1,,,1
06h 39,42,,1,,,,
16h 49,11,,1,1,,11,2
17h 14,,,1,2,,2,1
17h 29,10,,1,6,1,1,1
17h 49,11,,1,13,,1,2
17h 52,9,,1,4,1,,2
17h 56,18,,1,2,,4,1
17h 59,33,,1,11,,2,
18h 34,22,,1,1,,,
23h 31,31,,1,,,,
23h 59,10,,1,6,,4,5
00h 05,9,,2,,,,
00h 06,9,,2,,,,
00h 08,7,,2,,,,
00h 11,14,,2,,,,
00h 23,10,,2,,,,
00h 26,7,,2,,,,
00h 27,8,,2,,,,
00h 28,11,,2,,,,
00h 30,6,,2,,,,
00h 32,4,,2,,,,
00h 53,5,,2,,,,
01h 12,5,,2,,,,
01h 13,5,,2,,,,
01h 30,1,,2,,,,
01h 31,2,,2,,,,
01h 33,1,,2,,,,
01h 55,4,,2,,,,
01h 56,3,,2,,,,
01h 57,2,,2,,,,
03h 12,2,,2,,,,
03h 39,1,,2,,,,
03h 42,,,2,,,,
03h 43,,,2,,,,
04h 56,2,,2,,,,
05h 15,2,,2,,,,
05h 18,,,2,,,,
05h 21,3,,2,,,,
05h 42,8,,2,,,,
05h 57,11,,2,,,,
05h 59,14,,2,,1,,
06h 04,12,,2,,,,
06h 09,21,,2,,,,
06h 11,24,,2,,,,
06h 14,19,,2,,,,
06h 17,21,,2,,,,1
06h 19,19,,2,,,,
06h 24,30,,2,,,,
06h 26,24,,2,,,,
06h 30,22,,2,,,,
06h 46,42,,2,,,,
06h 59,59,,2,,1,,1
07h 07,63,,2,,1,,
14h 40,17,,2,31,,8,4
14h 54,14,,2,36,,23,4
15h 46,4,,2,16,,,5
17h 02,15,,2,19,,10,20
17h 37,15,,2,4,,7,7
17h 55,6,,2,5,,1,1
17h 57,30,,2,5,,4,
18h 00,14,,2,13,,,2
18h 08,1,,2,4,,,
23h 24,28,,2,,,1,
23h 26,37,,2,,,,
00h 03,12,,3,,,,
00h 19,7,,3,,1,,
00h 33,4,,3,,,,
00h 37,10,,3,,,,
00h 49,11,,3,,,,
00h 55,2,,3,,,,
01h 07,1,,3,,,,
01h 34,6,,3,,,,
05h 27,3,,3,,,,
05h 30,7,,3,,,,
05h 34,3,,3,,,,
06h 01,13,,3,,,,
06h 02,15,,3,,,,
06h 10,23,,3,1,,,
06h 16,20,,3,,,,
06h 22,20,,3,,,,
06h 23,34,,3,,,,1
06h 25,22,,3,,,,
06h 27,15,,3,,,,
06h 29,33,,3,,,,
06h 34,32,,3,1,,,
06h 37,35,,3,,,,
06h 41,40,,3,,,,
06h 42,52,,3,,,,
06h 52,45,,3,,3,,
06h 54,48,,3,1,,,
06h 55,49,,3,,,,
06h 57,59,,3,,,,1
07h 15,73,,3,,,,
17h 07,13,,3,10,1,2,9
18h 12,14,,3,12,,,
22h 31,49,,3,2,,,
23h 10,33,,3,,,,
23h 11,33,,3,,,,
23h 32,26,,3,,,,
23h 34,31,,3,,,,
23h 40,20,,3,,,,
23h 41,24,,3,,,,
23h 44,29,,3,1,,,
23h 46,23,,3,,,,2
23h 53,46,,3,,,,
23h 56,30,,3,,,,
23h 58,11,,3,2,1,3,4
05h 48,8,,4,,,,
06h 20,31,,4,1,,,
06h 21,34,,4,,1,,
06h 35,21,,4,1,,,
06h 40,39,,4,,,,
06h 50,43,,4,,,,
07h 14,69,,4,,,,
07h 18,77,,4,,,,
07h 21,83,,4,,,,
07h 25,80,,4,,,,
16h 53,45,,4,35,1,9,
17h 48,32,,4,11,,1,4
22h 27,62,,4,1,,,
22h 32,52,,4,,1,,
23h 03,55,,4,,,,
23h 12,47,,4,,,,
23h 17,25,,4,,,,
23h 23,20,,4,,,,
23h 37,32,,4,,,,
23h 39,26,,4,,,,
23h 55,32,,4,,,,
23h 57,21,,4,1,,,
00h 50,6,,5,,,,
06h 32,28,,5,,,,
06h 33,34,,5,1,,,
06h 36,32,,5,1,,,
06h 38,31,,5,1,,,1
06h 48,33,,5,,,,
06h 56,42,,5,1,,,
06h 58,51,,5,1,,,1
07h 01,44,,5,1,1,,
07h 11,65,,5,2,,,
07h 13,68,,5,,1,,
07h 22,84,,5,,,,
07h 34,74,,5,1,,,
08h 02,134,,5,,,,1
16h 13,44,,5,20,,4,4
16h 28,6,,5,23,,22,6
17h 27,102,,5,17,8,14,4
